subj,mask,voxels,FOV_depth0,FOV_depth2,FOV_depth4,FOV_depth6,FOV_depth8,FOV_depth10,MID_depth0,MID_depth2,MID_depth4,MID_depth6,MID_depth8,MID_depth10,PER_depth0,PER_depth2,PER_depth4,PER_depth6,PER_depth8,PER_depth10
pnr161_20190124,GMfunc_anySig_75pct_veins_lh.nii,1017,0.09207383664535349,0.14317930350312963,0.25965603057388215,0.24491403508000076,0.26399981112219395,0.2020210238782815,0.015091899635514156,0.07539463514860793,0.10188634077794562,0.11074601092065374,0.09259303524505612,0.0730768733466877,-0.05950715618702106,-0.17932668079244846,-0.13729089297836428,-0.0845879781718782,-0.06108913935927881,-0.04578152208514954
pnr161_20190404,GMfunc_anySig_75pct_veins_lh.nii,920,0.17337234422588085,0.274061471548131,0.2607043664502271,0.32570383545333664,0.3093645426306165,0.3274469593526475,0.008800177237906217,0.02093575765063767,0.10435643065156358,0.11168729776696265,0.15426386449479768,0.14090060135550425,-0.09480018206236808,-0.06838183754466866,-0.082810952892367,-0.07730167761652006,-0.019857316622689653,0.042050001910793854
pnr328_20190425,GMfunc_anySig_75pct_veins_lh.nii,805,0.11370893095930418,0.11900292418746126,0.19437372957925417,0.25416148273895184,0.32548611667207494,0.3702597028926992,0.12582396396403364,-0.02796956692530285,0.018585299554738154,0.07775159676352308,0.1473017408413497,0.17401267230533005,-0.044478476010327644,-0.09798849517046321,-0.03384809075669182,0.06491722942421764,0.1262193675146707,0.1339361025867857
pnr328_20190808,GMfunc_anySig_75pct_veins_lh.nii,777,0.15492824188965773,0.1758823169000941,0.15346495377532435,0.2857657533572902,0.2543924885159991,0.30464757901703954,0.06198158215572751,0.03345056153300059,0.03934103774721734,0.047971834444340215,0.08573363706147155,0.19795943636317342,-0.039107223593148506,-0.15010976386779196,-0.075815641636351,-0.06887737437236038,0.01307829904883513,0.03063268422209207
pnr349_20190502,GMfunc_anySig_75pct_veins_lh.nii,359,0.20999049052596092,0.3654655303495626,0.3303359208957237,0.43570268299916515,0.477797900101748,0.3817614291149836,0.1350911706508625,0.15594529662695195,0.23950872246294896,0.22037616206718416,0.2855193321614664,0.30321446215800407,0.07360606498332345,0.16692738746460833,0.15895052497748227,0.11078090092318284,0.10306795683744199,0.08251458634622395
pnr492_20190204,GMfunc_anySig_75pct_veins_lh.nii,659,0.04272656371619593,0.02716316999738208,0.030215630784833847,0.03589349987147295,0.0525353822798521,0.05336064529619041,-0.011363249287893206,-0.0007272523587146675,0.023355586892284334,0.016003008582629263,0.026147145488443237,0.026681159778779214,-0.06649720882178171,-0.03700014084225168,-0.0066458992709334365,-0.028222601268101822,-0.01094491472600499,0.020618382869214018
pnr492_20190429,GMfunc_anySig_75pct_veins_lh.nii,600,0.20199760071073586,0.25081569955218586,0.3370656333011116,0.34803956242958234,0.4025372290611267,0.3985020634421009,0.03001975556690767,0.01906978700551827,0.11011708458839997,0.19155889327105666,0.1991086156098414,0.18480176852043173,-0.11564805736166558,-0.1683938198468902,-0.08059089850634336,0.007360456353654304,0.03921531569562682,0.07785079446866323
pnr521_20190321,GMfunc_anySig_75pct_veins_rh.nii,659,0.17083797689484453,0.1571431001592871,0.22983869735379608,0.21436403080788924,0.264857196901864,0.3022759563042497,-0.05405429713965322,-0.0021727393724343923,0.008865530523573547,0.06792525443377213,0.06275184682363505,0.07580375309403548,-0.044214735027968084,-0.04327409527752371,-0.04200741676420478,-0.004144903247316296,0.061508306457088456,0.0860168803916952
pnr521_20190808,GMfunc_anySig_75pct_veins_lh.nii,890,0.06826497755412544,0.20254552699625492,0.15425278759809047,0.13017283724814963,0.19652244136245686,0.18384979410956687,-0.007341504687172376,0.00045079993915895367,0.017432383494451642,0.03965402114316559,0.08197464481044829,0.10275062161266153,-0.03868670505631001,-0.08082730767252061,-0.05438324960830089,0.005038992011187864,0.0746469529776683,0.1133763362530438
pnr739_20190131,GMfunc_anySig_75pct_veins_lh.nii,389,0.17475348339593483,0.2639687777425234,0.33876432263507295,0.3183104756007711,0.3445973991200038,0.4004306277779282,0.17723572183301492,0.21478439620638753,0.25991456129049767,0.3012473928062497,0.3302707776062555,0.3312422773995242,0.12411931793107406,0.15452555607972218,0.18558518465102553,0.2366892069578171,0.25926939218208706,0.24913788211503715
pnr739_20190415,GMfunc_anySig_75pct_veins_lh.nii,332,0.27370526397627004,0.4003836197609251,0.47385482017652714,0.5374755097287042,0.47717982723510693,0.5274421903969986,0.2989036790024715,0.30377768232754554,0.39437595494351585,0.46954007029533384,0.4199835146729746,0.5187446335103454,0.27124742515461175,0.2888503389852122,0.36963529488579794,0.4352600288522594,0.39928089287132024,0.4184353867026626
